year,table_order,table_group,table_state,table_city,place_id,city_name,state_code,state_name,population_2020,tax_rate_median_value,tax_rate_rank_median_value,tax_bill_amount_median_value,tax_bill_amount_rank_median_value,median_home_value,tax_rate_median_value_assessment_limits,tax_rate_rank_median_value_assessment_limits,tax_bill_amount_median_value_assessment_limits,tax_rank_median_value_assessment_limits,median_value_assessment_limits,tax_rate_150k,tax_bill_150k,tax_rank_150k,tax_rate_300k,tax_bill_300k,tax_rank_300k,tax_rate_varies_with_prop_value_flag
2021,1,Largest City in Each State,Alabama,Birmingham,107000,Birmingham,AL,Alabama,200329,0.00670,45,698,53,"104,125",0.00670,42,698,53,"104,125",0.00686,"1,028",43,0.00703,"2,110",44,1
2021,2,Largest City in Each State,Alaska,Anchorage,203000,Anchorage,AK,Alaska,290866,0.01324,18,"4,268",11,"322,320",0.01324,18,"4,268",8,"322,320",0.01283,"1,925",21,0.01303,"3,910",21,1
2021,3,Largest City in Each State,Arizona,Phoenix,455000,Phoenix,AZ,Arizona,1612337,0.01197,29,"3,473",22,"290,041",0.00792,40,"2,296",37,"290,041",0.01197,"1,796",26,0.01197,"3,592",30,0
2021,4,Largest City in Each State,Arkansas,Little Rock,541000,Little Rock,AR,Arkansas,202622,0.01117,35,"1,997",44,"178,760",0.01013,31,"1,811",44,"178,760",0.01077,"1,616",35,0.01202,"3,607",28,1
2021,5,Largest City in Each State,California,Los Angeles,644000,Los Angeles,CA,California,3895836,0.01164,32,"8,470",4,"727,737",0.00584,48,"4,252",9,"727,737",0.01120,"1,681",32,0.01148,"3,443",34,1
2021,6,Largest City in Each State,Colorado,Denver,820000,Denver,CO,Colorado,717556,0.00531,50,"2,503",32,"471,429",0.00531,50,"2,503",30,"471,429",0.00531,797,47,0.00531,"1,593",50,0
2021,7,Largest City in Each State,Connecticut,Bridgeport,908000,Bridgeport,CT,Connecticut,148165,0.02263,6,"4,515",9,"199,519",0.02263,4,"4,515",7,"199,519",0.02263,"3,394",6,0.02263,"6,789",7,0
2021,8,Largest City in Each State,DC,Washington,1150000,Washington,DC,District of Columbia,670868,0.00735,44,"4,943",7,"672,700",0.00735,41,"4,943",5,"672,700",0.00399,598,50,0.00615,"1,845",47,1
2021,9,Largest City in Each State,Delaware,Wilmington,1077580,Wilmington,DE,Delaware,70847,0.01365,16,"2,476",34,"181,397",0.01365,16,"2,476",32,"181,397",0.01365,"2,048",15,0.01365,"4,096",17,0
2021,10,Largest City in Each State,Florida,Jacksonville,1235000,Jacksonville,FL,Florida,951707,0.01270,22,"2,712",30,"213,596",0.00635,46,"1,356",49,"213,596",0.01131,"1,696",31,0.01364,"4,093",18,1
2021,11,Largest City in Each State,Georgia,Atlanta,1304000,Atlanta,GA,Georgia,499868,0.00895,38,"3,473",21,"388,082",0.00895,34,"3,473",21,"388,082",0.00246,370,51,0.00776,"2,328",43,1
2021,12,Largest City in Each State,Hawaii,Honolulu,1571550,Urban Honolulu,HI,Hawaii,348387,0.00300,53,"2,149",41,"716,267",0.00300,53,"2,149",40,"716,267",0.00200,300,52,0.00232,697,52,1
2021,13,Largest City in Each State,Idaho,Boise,1608830,Boise City,ID,Idaho,236018,0.00643,47,"2,273",39,"353,783",0.00643,44,"2,273",38,"353,783",0.00516,775,48,0.00573,"1,718",49,1
2021,14,Largest City in Each State,Illinois,Aurora*,1703012,Aurora,IL,Illinois,180197,0.03109,3,"6,735",5,"216,657",0.03109,2,"6,735",3,"216,657",0.02994,"4,490",3,0.03181,"9,542",3,1
2021,15,Largest City in Each State,Illinois,Chicago,1714000,Chicago,IL,Illinois,2740076,0.01566,13,"4,417",10,"282,044",0.01444,14,"4,072",12,"282,044",0.01350,"2,026",16,0.01581,"4,742",13,1
2021,16,Largest City in Each State,Indiana,Indianapolis,1836003,Indianapolis,IN,Indiana,887153,0.01146,33,"1,867",47,"162,871",0.01146,27,"1,867",43,"162,871",0.01141,"1,712",29,0.01172,"3,516",33,1
